Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Uncertainty Range Category,Variable Unit,Value,Conversion Value,portfolio
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,193500,Land,Land Consumed,Low,acres,0.05464,10572.84,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2025,24.545454545454547,Land,Land Consumed,Low,acres,0.8,19.63636363636364,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2026,49.09090909090909,Land,Land Consumed,Low,acres,0.8,39.27272727272728,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2027,73.63636363636364,Land,Land Consumed,Low,acres,0.8,58.909090909090914,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2028,98.18181818181819,Land,Land Consumed,Low,acres,0.8,78.54545454545456,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2029,122.72727272727273,Land,Land Consumed,Low,acres,0.8,98.18181818181819,Portfolio - Current Projects 1.29.2024
