Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Buildout,Conversion Factor MJ,Unit MJ,Effective Unit,Effective Energy Factor,Energy Produced,Energy Unit,Generated Emissions in F2C,Use,Weight,Compared to,Useful Output Unit,Adjustment Factor,Carbon Intensity of Use,Adjusted Energy Used in MJ,Emissions Avoided in C2U,Net Avoided Emissions,Net Avoided Emissions Unit,portfolio
LDES,Pumped hydro,Electricity,Megawatts,MW,2032,727.2727273,3599.822568,MJ per MWh,Effective MWh per MW,1861.117253,4872503193,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,31.79682066,4872503193,1.5493E+11,0.15493011,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2033,818.1818182,3599.822568,MJ per MWh,Effective MWh per MW,1888.302412,5561634793,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,30.62345055,5561634793,1.70316E+11,0.170316448,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2034,909.0909091,3599.822568,MJ per MWh,Effective MWh per MW,1915.48757,6268559439,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,29.45008044,6268559439,1.8461E+11,0.18460958,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2035,1000,3599.822568,MJ per MWh,Effective MWh per MW,1942.672728,6993277128,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,28.27671033,6993277128,1.97747E+11,0.197746872,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2036,1000,3599.822568,MJ per MWh,Effective MWh per MW,1969.857886,7091138875,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,27.10334022,7091138875,1.92194E+11,0.192193549,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2037,1000,3599.822568,MJ per MWh,Effective MWh per MW,1997.043044,7189000621,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,25.92997011,7189000621,1.86411E+11,0.186410571,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2038,1000,3599.822568,MJ per MWh,Effective MWh per MW,2024.228203,7286862367,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,24.7566,7286862367,1.80398E+11,0.180397937,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2039,1000,3599.822568,MJ per MWh,Effective MWh per MW,2051.413361,7384724113,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,23.58322989,7384724113,1.74156E+11,0.174155646,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2040,1000,3599.822568,MJ per MWh,Effective MWh per MW,2078.598519,7482585859,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,22.40985979,7482585859,1.67684E+11,0.1676837,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2041,1000,3599.822568,MJ per MWh,Effective MWh per MW,2105.783677,7580447605,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,21.23648968,7580447605,1.60982E+11,0.160982097,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2042,1000,3599.822568,MJ per MWh,Effective MWh per MW,2132.968836,7678309351,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,20.06311957,7678309351,1.54051E+11,0.154050839,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2043,1000,3599.822568,MJ per MWh,Effective MWh per MW,2160.153994,7776171097,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,18.88974946,7776171097,1.4689E+11,0.146889924,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2044,1000,3599.822568,MJ per MWh,Effective MWh per MW,2187.339152,7874032843,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,17.71637935,7874032843,1.39499E+11,0.139499353,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2045,1000,3599.822568,MJ per MWh,Effective MWh per MW,2214.52431,7971894589,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,16.54300924,7971894589,1.31879E+11,0.131879126,million MT CO2e,Portfolio - Current Projects 1.29.2024
Forest waste,Gasification + Gas Engine,Electricity,Megawatts,MW,2025,1.561065197,3599.822568,MJ per MWh,Effective MWh per MW,6035.085831,33914513.22,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,40.01041142,33914513.22,1356933627,0.001356934,million MT CO2e,Portfolio - Current Projects 1.29.2024
